WEIGHT,0.39
STEPS,12
Calibrate using 500 mb pressure steps
CYCLES,1
,
cycle,dir,step,pressure,d1,d2,d3,d4,d5,t0,t1,t2,t3,t4,t5
0,0,0,0,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,1000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,1500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4,2000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,2500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,3000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,3500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,4000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,4500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,10,5000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,5500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,12,6000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,6000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,5500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,5000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,4500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,4000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,3500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,6,3000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7,2500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8,2000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,9,1500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10,1000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,11,500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,12,0,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0

Raw Data
Pressure,Time,Distance,Pressure delta
raw values
label,time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5,pd0,pd1,pd2,pd3,pd4,pd5,roll,pitch,yaw
calibrate pressure,22003767,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003777,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003787,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003787,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003797,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003807,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003817,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003827,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003837,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003857,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003857,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.0
calibrate pressure,22003867,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003887,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003897,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003907,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003917,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,0.0
calibrate pressure,22003927,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,0.0
calibrate pressure,22003937,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,0.0
calibrate pressure,22003937,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,0.0
calibrate pressure,22003957,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003967,14,10,0,0,0,0,500,500,500,500,500,500,-500,-500,-500,-500,-500,-500,0.0,0.0,-0.0
calibrate pressure,22003977,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22003987,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22003997,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004007,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004017,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004017,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004037,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004047,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004057,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004067,14,10,0,0,0,0,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,-1000,-1000,0.0,0.0,-0.0
calibrate pressure,22004077,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004087,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004097,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004097,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004117,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004127,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004127,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004147,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004157,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004167,14,10,0,0,0,0,1500,1500,1500,1500,1500,1500,-1500,-1500,-1500,-1500,-1500,-1500,0.0,0.0,0.0
calibrate pressure,22004177,14,10,0,0,0,0,2000,2000,2000,2000,2000,2000,-2000,-2000,-2000,-2000,-2000,-2000,0.0,0.0,0.0
calibrate pressure,22004187,14,10,0,0,0,0,2000,2000,2000,2000,2000,2000,-2000,-2000,-2000,-2000,-2000,-2000,0.0,0.0,0.0
calibrate pressure,22004197,14,10,0,0,0,0,2000,2000,2000,2000,2000,2000,-2000,-2000,-2000,-2000,-2000,-2000,0.0,0.0,0.0
